order 	 paths 	 value 
5	2 2 1 1 2 nan	0.532124
6	2 2 1 1 2 4	0.106425
5	2 2 1 1 4 nan	0.652113
4	2 2 1 2 nan nan	1.99546
6	2 2 1 2 1 4	0.0431347
5	2 2 1 2 2 nan	0.266062
6	2 2 1 2 2 4	0.0532124
5	2 2 1 2 4 nan	0.391268
4	2 2 1 4 nan nan	2.44542
3	2 2 2 nan nan nan	2.34667
6	2 2 2 1 1 4	0.0258808
5	2 2 2 1 2 nan	0.475111
6	2 2 2 1 2 4	0.0950221
5	2 2 2 1 4 nan	0.582243
4	2 2 2 2 nan nan	0.312889
6	2 2 2 2 1 4	0.0385132
5	2 2 2 2 2 nan	0.0417185
6	2 2 2 2 2 4	0.0083437
5	2 2 2 2 4 nan	0.0613508
4	2 2 2 4 nan nan	0.460131
3	2 2 3 nan nan nan	2.0642
6	2 2 3 1 1 4	0.00405812
5	2 2 3 1 2 nan	0.0893968
6	2 2 3 1 2 4	0.0178794
5	2 2 3 1 4 nan	0.109555
4	2 2 3 2 nan nan	0.260741
6	2 2 3 2 1 4	0.00724664
5	2 2 3 2 2 nan	0.0347654
6	2 2 3 2 2 4	0.00695309
5	2 2 3 2 4 nan	0.0511256
4	2 2 3 4 nan nan	1.02251
3	2 2 4 nan nan nan	3.45098
2	2 3 nan nan nan nan	15.4815
6	2 3 1 1 1 4	0.00338176
5	2 3 1 1 2 nan	0.19866
6	2 3 1 1 2 4	0.0397319
5	2 3 1 1 4 nan	0.243455
4	2 3 1 2 nan nan	0.670476
6	2 3 1 2 1 4	0.0161036
5	2 3 1 2 2 nan	0.0893968
6	2 3 1 2 2 4	0.0178794
5	2 3 1 2 4 nan	0.131466
4	2 3 1 4 nan nan	0.821662
3	2 3 2 nan nan nan	1.95556
6	2 3 2 1 1 4	0.00869597
5	2 3 2 1 2 nan	0.159637
6	2 3 2 1 2 4	0.0319274
5	2 3 2 1 4 nan	0.195634
4	2 3 2 2 nan nan	0.260741
6	2 3 2 2 1 4	0.0129404
5	2 3 2 2 2 nan	0.0347654
6	2 3 2 2 2 4	0.00695309
5	2 3 2 2 4 nan	0.0511256
4	2 3 2 4 nan nan	0.383442
3	2 3 3 nan nan nan	2.58025
6	2 3 3 1 1 4	0.00338176
5	2 3 3 1 2 nan	0.0744974
6	2 3 3 1 2 4	0.0148995
5	2 3 3 1 4 nan	0.0912958
4	2 3 3 2 nan nan	0.325926
6	2 3 3 2 1 4	0.00603886
5	2 3 3 2 2 nan	0.0434568
6	2 3 3 2 2 4	0.00869136
5	2 3 3 2 4 nan	0.063907
4	2 3 3 4 nan nan	1.27814
3	2 3 4 nan nan nan	7.66885
2	2 4 nan nan nan nan	25.8824
6	2 4 1 1 1 4	0.00422721
5	2 4 1 1 2 nan	0.248325
6	2 4 1 1 2 4	0.0496649
5	2 4 1 1 4 nan	0.304319
4	2 4 1 2 nan nan	1.48995
6	2 4 1 2 1 4	0.0201295
5	2 4 1 2 2 nan	0.19866
6	2 4 1 2 2 4	0.0397319
5	2 4 1 2 4 nan	0.292146
4	2 4 1 4 nan nan	1.82592
3	2 4 2 nan nan nan	4.65882
6	2 4 2 1 1 4	0.0193244
5	2 4 2 1 2 nan	0.354749
6	2 4 2 1 2 4	0.0709499
5	2 4 2 1 4 nan	0.434742
4	2 4 2 2 nan nan	0.621176
6	2 4 2 2 1 4	0.0287565
5	2 4 2 2 2 nan	0.0828235
6	2 4 2 2 2 4	0.0165647
5	2 4 2 2 4 nan	0.121799
4	2 4 2 4 nan nan	0.913495
3	2 4 3 nan nan nan	0.683007
6	2 4 3 1 1 4	0.00805656
5	2 4 3 1 2 nan	0.177479
6	2 4 3 1 2 4	0.0354958
5	2 4 3 1 4 nan	0.217499
4	2 4 3 2 nan nan	0.0862745
6	2 4 3 2 1 4	0.0143867
5	2 4 3 2 2 nan	0.0115033
6	2 4 3 2 2 4	0.00230065
5	2 4 3 2 4 nan	0.0169166
4	2 4 3 4 nan nan	0.338331
3	2 4 4 nan nan nan	3.04498
1	3 nan nan nan nan nan	46.4444
2	3 1 nan nan nan nan	3.19577
